# Cycled Spindle Data - Droplets 
#
# These data were gratiously sent by Matt Good.  They are from the
#  paper Good, et al., Cytoplasmic Volume Modulates Spindle Size During
#  Embryogenesis, Science, 342, 856-860, 2013.
#
# Please do not distribute outside of BE/Bi 103.
#
Droplet Diameter (um),Droplet Volume (uL),Spindle Length (um),Spindle Width (um),Spindle Area (um2)
27.1,1.0E-05,28.9,10.8,155.8
28.2,1.2E-05,22.7,7.2,81.5
29.4,1.3E-05,26.2,10.5,138.3
31.0,1.6E-05,19.2,9.4,90.5
31.0,1.6E-05,28.4,12.1,172.4
31.5,1.6E-05,24.3,10.6,128.4
31.7,1.7E-05,23.1,8.7,101.1
32.0,1.7E-05,25.2,8.7,109.8
32.0,1.7E-05,24.8,9.2,113.5
32.0,1.7E-05,23.7,8.5,100.9
32.3,1.8E-05,25.5,9.5,121.5
33.3,1.9E-05,26.6,8.5,112.9
33.3,1.9E-05,24.7,9.7,119.5
33.3,1.9E-05,25.1,12.1,151.4
33.5,2.0E-05,29.3,10.1,148.0
33.5,2.0E-05,27.5,9.4,129.7
33.8,2.0E-05,26.5,10.1,133.5
33.8,2.0E-05,30.4,10.7,161.8
34.0,2.1E-05,27.0,10.4,139.9
34.3,2.1E-05,31.8,9.3,147.5
34.3,2.1E-05,30.0,10.4,156.5
34.6,2.2E-05,28.8,10.9,156.5
34.6,2.2E-05,26.3,8.7,114.9
34.8,2.2E-05,32.1,9.6,154.6
34.8,2.2E-05,26.5,11.0,145.8
35.1,2.3E-05,26.7,9.3,124.9
35.1,2.3E-05,26.6,8.8,117.6
35.3,2.3E-05,27.7,8.8,122.2
35.6,2.4E-05,22.3,9.8,109.8
35.8,2.4E-05,26.1,10.3,133.8
35.8,2.4E-05,27.7,9.6,132.6
35.8,2.4E-05,29.6,8.4,124.4
36.1,2.5E-05,34.0,9.4,159.8
36.1,2.5E-05,29.0,15.2,220.7
36.4,2.5E-05,30.4,10.6,160.7
36.6,2.6E-05,28.8,11.4,163.6
36.6,2.6E-05,21.9,8.9,98.1
36.9,2.6E-05,29.3,12.7,186.6
36.9,2.6E-05,34.8,8.5,147.4
36.9,2.6E-05,32.1,11.7,187.2
36.9,2.6E-05,34.8,9.1,158.0
36.9,2.6E-05,30.0,9.8,147.4
36.9,2.6E-05,29.2,8.8,128.0
37.1,2.7E-05,27.9,12.4,172.4
37.4,2.7E-05,25.3,8.4,106.2
37.4,2.7E-05,25.6,11.4,146.5
37.4,2.7E-05,26.6,9.4,125.5
37.4,2.7E-05,34.1,8.3,140.7
37.6,2.8E-05,27.9,9.3,130.2
37.6,2.8E-05,31.6,12.2,192.3
37.9,2.8E-05,24.2,10.3,124.7
37.9,2.8E-05,28.8,11.8,170.5
37.9,2.8E-05,30.4,14.4,219.3
37.9,2.8E-05,27.6,10.7,147.2
38.1,2.9E-05,28.5,14.1,200.7
38.1,2.9E-05,31.4,9.9,155.4
38.4,3.0E-05,24.2,10.2,123.1
38.4,3.0E-05,32.3,14.3,231.6
38.4,3.0E-05,30.2,11.6,174.5
38.7,3.0E-05,30.0,12.8,192.5
38.7,3.0E-05,29.4,10.1,148.9
38.7,3.0E-05,29.2,10.7,155.3
38.7,3.0E-05,28.4,11.8,167.8
38.9,3.1E-05,27.9,12.1,168.9
38.9,3.1E-05,34.8,11.1,192.1
38.9,3.1E-05,26.1,10.5,137.6
38.9,3.1E-05,31.8,10.8,171.7
39.2,3.1E-05,30.2,10.1,152.4
39.4,3.2E-05,28.4,9.5,135.3
39.7,3.3E-05,25.4,12.9,164.0
39.7,3.3E-05,25.3,11.4,144.7
39.7,3.3E-05,29.8,8.7,129.6
39.7,3.3E-05,28.5,10.6,150.7
39.9,3.3E-05,24.9,9.9,123.3
39.9,3.3E-05,26.5,9.4,125.2
40.2,3.4E-05,31.9,10.2,162.7
40.2,3.4E-05,27.9,11.7,163.0
40.2,3.4E-05,30.0,8.8,131.7
40.2,3.4E-05,28.6,11.9,170.6
40.2,3.4E-05,29.4,12.5,183.1
40.4,3.5E-05,29.6,8.3,122.3
40.4,3.5E-05,27.5,10.4,142.4
40.4,3.5E-05,32.1,12.1,194.6
40.7,3.5E-05,31.5,9.4,148.2
41.0,3.6E-05,26.1,9.8,127.8
41.0,3.6E-05,28.3,11.4,160.7
41.2,3.7E-05,29.0,10.2,148.5
41.2,3.7E-05,28.4,11.0,156.3
41.2,3.7E-05,30.9,10.6,163.2
41.5,3.7E-05,30.3,11.0,166.3
41.5,3.7E-05,32.9,11.6,191.0
41.5,3.8E-05,29.5,8.3,121.7
41.7,3.8E-05,27.2,9.8,133.9
41.7,3.8E-05,29.7,9.2,137.0
41.7,3.8E-05,34.2,15.1,258.5
41.7,3.8E-05,34.3,12.3,211.3
41.9,3.8E-05,30.7,10.3,158.2
42.0,3.9E-05,29.9,8.7,130.3
42.0,3.9E-05,28.4,9.2,131.0
42.0,3.9E-05,32.5,8.0,130.4
42.1,3.9E-05,32.4,12.6,204.7
42.2,3.9E-05,26.6,11.6,154.5
42.2,3.9E-05,26.8,14.2,189.8
42.4,4.0E-05,26.9,13.9,186.6
42.5,4.0E-05,30.6,9.1,138.4
42.5,4.0E-05,27.0,8.8,118.3
42.5,4.0E-05,34.2,13.1,224.2
42.6,4.0E-05,26.8,13.9,186.8
42.8,4.1E-05,28.7,7.3,105.1
42.8,4.1E-05,26.5,12.0,158.5
42.8,4.1E-05,29.5,12.1,178.5
42.8,4.1E-05,31.8,15.4,244.1
42.8,4.1E-05,28.6,9.7,138.8
42.8,4.1E-05,35.4,13.6,240.3
42.8,4.1E-05,37.8,13.5,255.4
42.8,4.1E-05,28.0,9.9,138.6
42.9,4.1E-05,29.5,8.7,128.2
43.0,4.2E-05,31.8,8.7,139.1
43.0,4.2E-05,30.7,9.2,141.6
43.0,4.2E-05,25.3,8.3,105.4
43.0,4.2E-05,26.9,11.3,152.3
43.1,4.2E-05,26.4,9.9,131.2
43.3,4.2E-05,29.1,10.9,158.1
43.3,4.2E-05,29.8,9.2,137.6
43.4,4.3E-05,32.8,9.7,159.4
43.5,4.3E-05,28.0,8.9,125.2
43.6,4.3E-05,26.2,8.8,115.0
43.8,4.4E-05,28.9,8.0,115.7
43.8,4.4E-05,33.0,9.9,163.3
43.8,4.4E-05,35.5,12.6,224.4
43.8,4.4E-05,31.8,14.3,227.0
43.8,4.4E-05,34.5,12.2,209.7
43.8,4.4E-05,27.1,12.4,168.1
44.0,4.4E-05,37.1,12.2,226.6
44.0,4.5E-05,28.9,11.3,162.8
44.0,4.5E-05,34.8,13.2,229.6
44.0,4.5E-05,31.7,14.1,223.1
44.0,4.5E-05,25.2,9.4,118.3
44.1,4.5E-05,27.8,8.9,124.2
44.3,4.5E-05,27.0,10.9,146.8
44.3,4.5E-05,26.3,12.9,169.8
44.3,4.6E-05,29.2,11.7,170.7
44.5,4.6E-05,32.4,11.1,179.0
44.5,4.6E-05,28.3,13.1,184.4
44.5,4.6E-05,26.2,11.2,147.3
44.5,4.6E-05,31.3,8.8,137.8
44.5,4.6E-05,27.1,12.4,168.0
44.7,4.7E-05,34.6,11.6,201.1
44.8,4.7E-05,26.9,8.3,112.3
44.8,4.7E-05,30.3,11.2,170.1
44.8,4.7E-05,32.5,12.1,196.0
44.8,4.7E-05,26.0,15.1,195.7
45.1,4.8E-05,29.1,11.0,160.5
45.1,4.8E-05,33.8,12.8,216.8
45.1,4.8E-05,27.7,13.0,179.8
45.1,4.8E-05,28.9,11.4,165.2
45.3,4.9E-05,25.4,10.4,131.5
45.3,4.9E-05,35.1,12.2,214.1
45.3,4.9E-05,30.2,12.1,182.6
45.3,4.9E-05,32.4,11.4,184.2
45.3,4.9E-05,26.4,10.8,142.3
45.3,4.9E-05,33.2,13.9,231.2
45.3,4.9E-05,35.1,11.7,205.1
45.3,4.9E-05,29.9,9.2,138.0
45.3,4.9E-05,30.1,14.6,219.0
45.3,4.9E-05,27.1,12.8,173.4
45.6,5.0E-05,25.2,10.6,132.8
45.6,5.0E-05,34.5,11.7,201.9
45.6,5.0E-05,31.3,11.2,175.2
45.6,5.0E-05,22.7,13.2,149.5
45.6,5.0E-05,28.4,11.0,155.4
45.6,5.0E-05,30.3,10.2,154.0
45.6,5.0E-05,30.4,11.8,179.1
45.6,5.0E-05,29.7,11.6,172.0
45.6,5.0E-05,33.4,8.8,147.3
45.8,5.0E-05,34.2,11.2,191.9
45.8,5.0E-05,24.9,9.9,123.8
45.8,5.0E-05,29.1,15.4,224.3
45.8,5.0E-05,31.8,9.7,154.7
45.8,5.0E-05,28.7,10.3,147.0
45.8,5.0E-05,24.4,10.9,132.3
45.8,5.0E-05,34.6,12.6,217.3
46.1,5.1E-05,32.5,11.9,194.2
46.1,5.1E-05,30.9,13.0,200.0
46.1,5.1E-05,27.1,10.4,140.7
46.1,5.1E-05,27.3,11.8,161.4
46.1,5.1E-05,31.2,11.2,175.0
46.1,5.1E-05,35.6,12.6,225.1
46.1,5.1E-05,32.2,9.9,159.9
46.1,5.1E-05,25.9,10.8,139.5
46.1,5.1E-05,34.7,12.6,219.1
46.3,5.2E-05,29.3,10.8,158.4
46.3,5.2E-05,32.2,8.9,143.8
46.3,5.2E-05,32.5,11.1,180.2
46.3,5.2E-05,28.7,10.1,144.2
46.3,5.2E-05,29.1,7.7,112.6
46.3,5.2E-05,29.2,11.4,167.2
46.3,5.2E-05,29.8,11.9,177.7
46.3,5.2E-05,27.6,10.7,147.5
46.3,5.2E-05,32.1,8.3,133.8
46.6,5.3E-05,30.4,11.3,172.1
46.6,5.3E-05,30.8,9.6,148.2
46.6,5.3E-05,31.7,12.3,195.2
46.6,5.3E-05,31.9,9.5,151.8
46.6,5.3E-05,28.7,12.1,173.3
46.6,5.3E-05,27.1,11.0,149.5
46.6,5.3E-05,30.2,12.6,190.9
46.8,5.4E-05,27.5,12.8,176.4
46.8,5.4E-05,25.7,13.9,179.1
46.8,5.4E-05,26.3,12.8,168.7
46.8,5.4E-05,30.1,8.4,126.5
46.8,5.4E-05,27.3,8.4,114.6
46.8,5.4E-05,29.2,10.6,154.3
46.8,5.4E-05,31.7,11.5,182.2
46.8,5.4E-05,26.6,11.0,146.0
46.8,5.4E-05,31.4,14.1,221.0
47.1,5.5E-05,35.2,12.8,225.0
47.1,5.5E-05,32.0,9.6,154.1
47.1,5.5E-05,35.1,12.3,216.2
47.1,5.5E-05,26.5,8.8,116.2
47.1,5.5E-05,29.5,10.4,152.9
47.1,5.5E-05,32.0,11.4,183.1
47.1,5.5E-05,35.4,11.0,194.9
47.1,5.5E-05,30.8,13.4,205.3
47.1,5.5E-05,28.3,9.7,136.6
47.1,5.5E-05,31.8,11.8,188.1
47.4,5.6E-05,30.4,11.2,170.7
47.4,5.6E-05,27.6,7.9,109.7
47.4,5.6E-05,37.8,13.1,246.7
47.4,5.6E-05,28.7,11.4,163.2
47.6,5.6E-05,27.7,12.5,173.1
47.6,5.6E-05,27.5,13.0,178.6
47.6,5.6E-05,29.1,13.6,198.6
47.6,5.6E-05,31.8,9.9,158.2
47.6,5.6E-05,34.3,11.3,193.9
47.6,5.6E-05,33.9,11.4,194.0
47.9,5.7E-05,34.5,11.4,195.9
47.9,5.7E-05,34.7,10.4,179.6
47.9,5.7E-05,33.1,12.2,202.2
47.9,5.7E-05,32.2,13.1,211.3
47.9,5.7E-05,27.5,13.1,179.8
48.1,5.8E-05,23.5,10.2,119.5
48.1,5.8E-05,30.6,12.5,191.1
48.1,5.8E-05,32.0,13.8,220.3
48.4,5.9E-05,27.2,8.7,119.1
48.4,5.9E-05,29.5,11.4,167.6
48.6,6.0E-05,34.6,13.8,238.5
48.6,6.0E-05,30.1,15.2,229.3
49.4,6.3E-05,28.7,12.8,184.0
49.9,6.5E-05,28.2,8.8,124.1
49.9,6.5E-05,29.9,13.3,198.2
50.4,6.7E-05,29.3,15.1,221.8
50.7,6.8E-05,27.2,11.7,158.6
50.7,6.8E-05,33.0,9.7,160.3
50.9,6.9E-05,36.7,15.3,279.9
50.9,6.9E-05,34.3,10.1,173.3
50.9,6.9E-05,37.0,9.2,170.6
50.9,6.9E-05,31.2,16.5,257.6
51.2,7.0E-05,29.1,15.2,221.2
51.5,7.1E-05,26.7,13.1,174.9
51.7,7.2E-05,32.8,16.0,262.5
51.7,7.2E-05,30.1,13.9,209.6
51.7,7.2E-05,33.9,13.1,222.0
52.2,7.5E-05,30.1,12.9,194.6
52.2,7.5E-05,33.6,12.8,215.8
52.5,7.6E-05,26.5,11.3,149.2
52.5,7.6E-05,28.7,10.8,155.0
52.5,7.6E-05,31.3,11.9,186.3
52.5,7.6E-05,31.1,12.0,186.1
52.5,7.6E-05,37.6,13.4,250.7
52.7,7.7E-05,27.8,13.4,186.0
52.7,7.7E-05,27.6,12.0,164.7
52.7,7.7E-05,29.3,14.2,208.3
52.7,7.7E-05,43.2,17.5,377.7
53.0,7.8E-05,39.2,17.8,349.5
53.0,7.8E-05,30.4,11.0,167.1
53.0,7.8E-05,35.2,11.6,204.1
53.0,7.8E-05,29.9,9.4,140.7
53.0,7.8E-05,23.9,11.7,139.7
53.0,7.8E-05,33.3,13.3,222.0
53.0,7.8E-05,41.4,18.6,384.4
53.0,7.8E-05,30.5,9.8,150.4
53.0,7.8E-05,37.0,10.4,191.6
53.2,7.9E-05,27.0,12.2,164.4
53.2,7.9E-05,38.7,10.3,199.4
53.5,8.0E-05,34.8,14.4,251.1
53.8,8.1E-05,36.0,16.3,292.5
53.8,8.1E-05,35.2,14.1,248.4
53.8,8.1E-05,34.4,12.2,210.1
54.0,8.2E-05,35.1,15.4,269.8
54.0,8.2E-05,33.1,12.4,205.2
54.0,8.2E-05,30.3,13.8,208.6
54.0,8.2E-05,36.9,11.8,217.9
54.0,8.2E-05,31.1,11.8,183.4
54.3,8.4E-05,26.5,15.1,199.2
54.3,8.4E-05,30.2,11.6,175.2
54.3,8.4E-05,37.2,14.0,260.4
54.3,8.4E-05,32.6,13.3,216.7
54.5,8.5E-05,35.8,11.0,197.3
54.5,8.5E-05,30.9,10.1,156.5
54.5,8.5E-05,33.8,13.5,228.5
54.8,8.6E-05,26.2,13.5,176.9
54.8,8.6E-05,24.2,14.4,174.3
54.8,8.6E-05,37.8,12.5,235.2
55.0,8.7E-05,32.3,12.0,192.8
55.0,8.7E-05,30.3,8.9,135.3
55.3,8.8E-05,32.3,12.3,199.1
55.3,8.8E-05,33.3,16.6,276.4
55.6,9.0E-05,40.5,10.7,216.5
55.6,9.0E-05,35.5,14.3,253.3
55.6,9.0E-05,28.5,9.2,130.3
55.6,9.0E-05,36.0,14.8,267.1
55.6,9.0E-05,30.7,15.4,236.6
55.6,9.0E-05,42.9,10.8,231.1
55.8,9.1E-05,32.8,11.1,181.5
55.8,9.1E-05,32.3,13.3,214.7
56.1,9.2E-05,41.7,13.5,282.2
56.3,9.3E-05,36.5,11.0,200.9
56.3,9.3E-05,38.6,14.7,283.0
56.6,9.5E-05,39.8,11.0,218.6
56.8,9.6E-05,32.6,21.4,348.4
56.8,9.6E-05,40.1,12.8,257.7
57.1,9.7E-05,29.0,12.7,183.4
57.1,9.7E-05,32.9,12.2,200.9
57.1,9.7E-05,33.7,11.9,201.1
57.1,9.7E-05,33.7,15.4,258.6
57.3,9.9E-05,36.6,16.4,299.7
57.3,9.9E-05,33.7,10.8,181.9
57.3,9.9E-05,30.9,11.6,178.7
57.6,1.0E-04,33.7,14.4,242.8
57.6,1.0E-04,33.3,10.6,175.9
57.6,1.0E-04,24.1,11.9,143.6
57.6,1.0E-04,34.8,13.4,233.1
57.9,1.0E-04,35.1,17.3,303.8
57.9,1.0E-04,31.4,12.6,198.7
57.9,1.0E-04,35.8,12.2,218.4
58.1,1.0E-04,34.4,16.5,283.4
58.1,1.0E-04,35.3,15.1,265.5
58.1,1.0E-04,34.7,9.6,165.8
58.4,1.0E-04,31.4,12.3,193.2
58.4,1.0E-04,32.8,12.3,202.3
58.4,1.0E-04,36.8,13.1,240.1
58.6,1.1E-04,33.9,15.3,259.0
58.6,1.1E-04,28.0,10.8,150.5
58.6,1.1E-04,32.5,11.8,191.9
58.6,1.1E-04,34.2,14.6,248.9
58.6,1.1E-04,32.8,11.9,194.8
58.9,1.1E-04,35.9,13.6,244.3
59.1,1.1E-04,33.3,13.6,226.3
59.1,1.1E-04,32.3,11.4,184.8
59.1,1.1E-04,33.2,11.0,182.5
59.1,1.1E-04,36.1,11.0,197.8
59.4,1.1E-04,36.8,16.4,301.0
59.4,1.1E-04,34.3,11.7,200.5
59.4,1.1E-04,36.7,13.3,243.5
59.6,1.1E-04,28.3,11.5,162.5
59.6,1.1E-04,38.3,10.3,196.5
59.6,1.1E-04,39.2,14.3,281.4
59.9,1.1E-04,29.1,11.8,171.5
60.2,1.1E-04,35.4,13.4,236.2
60.7,1.2E-04,31.8,12.6,199.7
60.7,1.2E-04,33.5,10.3,172.5
60.9,1.2E-04,35.3,13.7,241.1
61.2,1.2E-04,36.3,15.6,282.4
61.2,1.2E-04,34.0,15.5,264.6
61.2,1.2E-04,31.8,14.2,226.3
62.0,1.2E-04,33.6,17.0,285.6
62.0,1.2E-04,34.7,13.5,234.9
62.0,1.2E-04,32.2,14.9,240.6
62.0,1.2E-04,35.5,14.9,264.7
62.2,1.3E-04,33.3,13.2,220.1
62.2,1.3E-04,28.3,12.0,169.8
62.5,1.3E-04,36.9,12.8,236.4
62.5,1.3E-04,39.5,12.3,243.0
62.7,1.3E-04,27.6,11.8,162.7
62.7,1.3E-04,30.1,10.9,163.2
62.7,1.3E-04,35.9,11.7,210.1
63.0,1.3E-04,34.5,10.7,184.3
63.0,1.3E-04,36.6,14.6,266.7
63.7,1.4E-04,38.8,11.1,215.1
63.7,1.4E-04,33.8,14.9,252.3
64.0,1.4E-04,40.4,15.1,304.4
64.3,1.4E-04,38.9,13.0,252.2
64.3,1.4E-04,36.1,13.4,240.8
64.3,1.4E-04,30.5,13.3,203.1
64.3,1.4E-04,33.4,15.5,259.3
64.3,1.4E-04,32.6,14.0,227.6
64.5,1.4E-04,36.5,13.2,240.9
64.5,1.4E-04,39.6,12.3,244.4
64.5,1.4E-04,40.3,12.3,247.6
64.5,1.4E-04,26.6,12.6,168.3
64.5,1.4E-04,27.1,11.9,161.0
64.5,1.4E-04,33.5,15.5,259.2
64.8,1.4E-04,37.5,12.1,227.6
64.8,1.4E-04,29.2,15.4,224.5
64.8,1.4E-04,38.3,14.2,272.6
65.0,1.4E-04,37.1,13.2,244.9
65.0,1.4E-04,42.6,11.2,238.3
65.0,1.4E-04,32.1,14.7,235.3
65.0,1.4E-04,33.2,13.7,227.7
65.0,1.4E-04,36.9,13.1,242.2
65.0,1.4E-04,35.9,10.8,192.8
65.3,1.5E-04,44.9,14.5,325.6
65.3,1.5E-04,41.9,11.4,239.6
65.3,1.5E-04,35.6,17.8,316.0
65.5,1.5E-04,39.6,15.4,304.3
65.5,1.5E-04,40.5,12.9,260.8
65.5,1.5E-04,31.4,8.8,138.7
65.5,1.5E-04,41.0,12.8,262.5
65.5,1.5E-04,29.7,17.0,252.9
65.8,1.5E-04,35.0,11.2,196.8
65.8,1.5E-04,34.7,18.0,311.7
65.8,1.5E-04,27.7,11.7,162.3
65.8,1.5E-04,35.5,13.9,247.1
65.8,1.5E-04,32.1,11.0,176.4
65.8,1.5E-04,35.2,15.4,270.4
65.8,1.5E-04,40.3,12.5,250.9
65.8,1.5E-04,29.6,13.4,197.5
66.0,1.5E-04,30.1,13.5,203.3
66.0,1.5E-04,30.4,15.8,240.2
66.0,1.5E-04,32.5,12.7,206.3
66.0,1.5E-04,34.1,17.0,290.8
66.0,1.5E-04,36.0,13.4,241.9
66.0,1.5E-04,37.7,13.4,251.4
66.0,1.5E-04,36.8,17.9,328.5
66.3,1.5E-04,37.5,11.7,219.3
66.3,1.5E-04,44.2,15.9,350.9
66.3,1.5E-04,27.2,11.4,155.6
66.3,1.5E-04,31.7,13.2,209.7
66.6,1.5E-04,31.9,13.1,209.0
66.6,1.5E-04,37.9,14.0,264.9
66.6,1.5E-04,32.1,11.9,190.9
66.6,1.5E-04,34.9,19.1,333.3
66.6,1.5E-04,35.7,14.7,262.8
66.6,1.5E-04,30.6,11.4,174.1
66.6,1.5E-04,39.3,15.4,302.8
66.6,1.5E-04,36.2,14.4,261.0
66.8,1.6E-04,36.7,16.1,294.9
66.8,1.6E-04,42.1,11.0,230.7
66.8,1.6E-04,26.4,13.5,178.4
66.8,1.6E-04,23.3,9.6,111.3
66.8,1.6E-04,30.6,11.5,176.2
66.8,1.6E-04,35.5,15.2,270.5
67.1,1.6E-04,26.6,13.6,180.6
67.1,1.6E-04,29.8,9.4,140.0
67.1,1.6E-04,30.1,10.4,155.8
67.1,1.6E-04,34.3,14.1,241.3
67.1,1.6E-04,41.0,14.0,286.3
67.3,1.6E-04,41.1,14.9,307.0
67.3,1.6E-04,47.5,16.2,384.8
67.3,1.6E-04,30.7,12.9,198.6
67.3,1.6E-04,30.8,10.4,159.7
67.3,1.6E-04,35.9,17.6,316.3
67.6,1.6E-04,38.9,12.6,244.2
67.6,1.6E-04,35.0,16.3,285.0
67.6,1.6E-04,33.2,12.3,204.9
67.6,1.6E-04,33.4,15.6,260.4
67.6,1.6E-04,36.0,14.2,254.9
67.6,1.6E-04,31.4,14.5,227.7
67.6,1.6E-04,38.1,17.4,331.0
67.6,1.6E-04,32.7,12.9,211.3
67.6,1.6E-04,34.5,10.9,187.6
67.6,1.6E-04,36.3,14.7,266.1
67.6,1.6E-04,29.3,15.6,228.4
67.8,1.6E-04,39.0,14.6,284.4
67.8,1.6E-04,31.6,11.7,184.8
67.8,1.6E-04,39.2,14.1,276.4
67.8,1.6E-04,30.9,14.4,223.1
67.8,1.6E-04,33.7,14.0,235.2
67.8,1.6E-04,32.3,14.6,234.8
68.1,1.7E-04,36.9,18.0,332.4
68.1,1.7E-04,31.5,17.4,273.8
68.1,1.7E-04,31.8,13.1,208.2
68.1,1.7E-04,38.7,16.4,317.5
68.1,1.7E-04,36.1,17.4,314.4
68.1,1.7E-04,27.6,14.9,205.8
68.1,1.7E-04,29.5,12.6,186.8
68.1,1.7E-04,32.6,16.6,270.7
68.1,1.7E-04,34.2,13.1,224.2
68.1,1.7E-04,35.6,17.5,311.5
68.1,1.7E-04,32.4,15.4,249.4
68.4,1.7E-04,36.1,14.6,263.1
68.4,1.7E-04,42.7,14.9,317.8
68.4,1.7E-04,30.2,10.4,156.7
68.4,1.7E-04,38.6,13.3,256.7
68.4,1.7E-04,33.3,12.1,201.1
68.4,1.7E-04,31.8,11.8,187.7
68.4,1.7E-04,38.7,14.9,288.0
68.6,1.7E-04,34.5,15.8,272.9
68.6,1.7E-04,30.9,13.3,205.6
68.6,1.7E-04,32.0,15.2,243.2
68.6,1.7E-04,36.4,15.3,279.1
68.6,1.7E-04,29.1,15.8,229.1
68.6,1.7E-04,37.5,22.0,411.9
68.6,1.7E-04,33.9,14.0,236.7
68.6,1.7E-04,29.6,12.5,184.4
68.6,1.7E-04,30.0,17.0,253.9
68.9,1.7E-04,29.2,12.8,187.5
68.9,1.7E-04,39.5,12.5,245.7
68.9,1.7E-04,38.7,14.2,274.0
69.1,1.7E-04,30.8,13.9,214.3
69.1,1.7E-04,32.3,13.4,215.4
69.1,1.7E-04,34.8,12.0,207.9
69.1,1.7E-04,31.8,15.4,245.1
69.1,1.7E-04,35.6,12.5,221.5
69.1,1.7E-04,28.9,12.1,174.8
69.1,1.7E-04,35.1,11.2,197.4
69.1,1.7E-04,37.0,19.6,361.5
69.1,1.7E-04,34.3,12.7,217.1
69.1,1.7E-04,36.1,14.8,266.4
69.4,1.7E-04,35.4,17.9,316.8
69.4,1.7E-04,36.3,17.8,322.8
69.4,1.7E-04,35.7,15.6,277.6
69.4,1.7E-04,29.1,15.1,219.3
69.4,1.7E-04,37.7,16.5,311.9
69.4,1.7E-04,36.5,13.8,252.4
69.4,1.7E-04,34.7,11.7,202.9
69.4,1.7E-04,37.3,15.9,297.1
69.4,1.7E-04,36.1,15.9,287.2
69.6,1.8E-04,40.3,14.9,300.0
69.6,1.8E-04,31.7,13.0,205.5
69.6,1.8E-04,33.8,15.7,264.6
69.6,1.8E-04,35.9,14.2,255.4
69.6,1.8E-04,32.3,13.8,223.2
69.6,1.8E-04,34.9,15.5,271.2
69.6,1.8E-04,33.4,15.3,256.1
69.6,1.8E-04,32.4,13.4,217.8
69.6,1.8E-04,31.9,10.2,163.2
69.6,1.8E-04,33.8,13.3,225.1
69.9,1.8E-04,34.8,13.5,235.4
69.9,1.8E-04,34.3,16.4,281.3
69.9,1.8E-04,34.0,15.1,257.2
69.9,1.8E-04,36.6,14.5,265.1
69.9,1.8E-04,30.1,8.4,126.2
69.9,1.8E-04,32.3,14.4,232.2
69.9,1.8E-04,34.9,14.2,248.1
69.9,1.8E-04,34.7,15.9,276.0
69.9,1.8E-04,36.9,14.1,260.0
70.1,1.8E-04,31.8,13.5,214.2
70.1,1.8E-04,32.7,13.2,215.0
70.1,1.8E-04,41.2,17.1,352.3
70.1,1.8E-04,29.3,18.5,271.1
70.1,1.8E-04,31.9,14.1,224.0
70.1,1.8E-04,39.1,16.1,313.9
70.1,1.8E-04,31.9,15.3,243.6
70.1,1.8E-04,30.3,13.3,201.5
70.4,1.8E-04,32.3,14.1,226.7
70.4,1.8E-04,32.6,13.0,212.4
70.4,1.8E-04,37.1,13.6,252.7
