# Data from Singer, et al., Dynamic Heterogeneity and DNA Methylation
# in Embryonic Stem Cells, *Molec. Cell*, **55**, 319-331, 2014.
#
# Each row contains mRNA counts via smFISH for a given
# E14 (E14Tg2a.4) cell.  The column headings indicate which
# gene was targeted.
#
# Data kindly provided by Zak Singer.
Rex1,Rest,Nanog,Prdm14
11,34,39,0
172,91,33,5
261,70,68,0
178,54,88,1
129,54,41,0
97,68,103,0
16,74,27,0
29,60,15,2
118,96,153,1
133,35,127,3
152,50,73,1
8,51,5,1
125,43,64,3
172,50,104,14
245,74,202,16
265,125,216,11
202,62,51,1
291,130,293,15
14,95,4,0
40,31,1,0
56,67,5,0
160,90,143,1
120,62,77,0
52,39,27,0
239,68,156,7
11,40,0,0
151,65,100,4
76,78,101,6
122,60,33,0
290,94,120,12
98,99,101,4
170,55,57,0
218,69,97,7
171,41,121,17
131,102,228,1
89,65,79,8
32,42,48,2
8,76,0,0
214,114,34,0
219,84,107,1
172,106,110,4
353,182,408,24
331,68,231,31
235,86,153,3
209,63,138,3
8,24,10,0
297,103,137,1
239,96,69,1
192,75,174,5
238,60,61,0
124,70,32,3
163,79,84,1
148,74,67,7
151,74,141,1
40,44,24,5
205,104,94,1
331,97,246,7
218,30,80,1
150,58,69,1
61,17,11,0
76,34,20,0
128,44,10,0
11,28,13,0
166,49,44,3
96,65,68,9
362,246,251,32
160,104,127,3
247,108,74,15
204,91,156,4
266,144,44,4
98,40,61,0
145,80,33,1
61,57,39,6
136,82,175,3
111,85,128,3
15,51,24,1
80,39,67,2
250,98,274,19
169,88,78,8
155,65,49,1
6,13,4,0
163,140,143,11
174,85,193,3
227,76,82,6
69,21,10,0
221,80,176,12
167,60,86,0
174,137,107,12
155,91,130,5
195,70,149,9
38,12,31,2
135,53,40,7
244,65,177,21
98,33,37,0
182,59,145,5
10,59,1,0
191,72,86,1
131,110,113,2
255,138,115,3
288,105,139,1
137,83,68,1
238,104,83,5
103,62,64,0
131,57,94,0
166,110,117,13
17,51,26,0
284,106,108,4
264,92,120,2
86,59,84,3
8,33,2,0
260,108,144,13
81,53,62,27
19,34,55,0
121,94,12,2
9,48,21,1
126,64,39,1
8,93,33,0
6,53,14,0
110,77,103,3
194,83,78,6
118,56,82,5
122,48,46,2
122,88,47,3
159,54,79,7
23,75,1,2
12,46,6,0
163,29,24,0
192,42,116,6
302,79,104,0
157,64,63,0
62,57,59,1
206,92,132,25
104,125,125,12
140,37,153,7
129,44,85,1
126,112,104,6
160,52,52,0
140,125,140,4
258,152,128,3
30,18,22,1
99,34,35,0
6,16,2,1
98,53,162,20
170,72,236,10
254,103,140,7
9,35,14,0
11,75,3,0
154,62,132,0
145,134,120,5
11,83,30,0
90,94,84,12
203,67,200,0
186,84,74,2
144,80,154,1
68,57,81,0
166,80,77,0
94,29,59,7
186,87,88,3
201,130,80,1
113,32,10,0
176,142,175,8
18,78,19,0
156,92,124,15
31,74,60,5
173,155,87,4
166,159,194,6
108,61,29,0
245,74,119,2
191,94,67,1
113,59,8,0
72,91,38,12
157,112,94,4
51,68,28,6
147,27,22,0
108,32,66,3
11,78,6,0
420,162,90,9
190,89,77,8
151,162,92,12
153,92,118,7
198,100,171,13
154,40,29,1
48,37,32,0
11,5,11,1
95,107,77,11
23,31,37,3
134,91,198,11
326,153,134,27
124,94,14,6
105,129,227,32
233,98,190,0
217,108,40,6
3,8,1,0
94,53,50,0
144,95,65,5
47,39,19,0
177,65,64,2
241,68,154,3
54,75,65,2
102,83,25,1
142,45,71,2
204,90,129,2
89,87,114,6
81,78,123,6
124,117,156,1
7,36,8,1
265,82,132,3
100,61,136,0
204,129,80,0
102,103,162,3
116,55,53,4
142,43,87,7
210,40,72,6
140,56,64,3
29,27,19,0
155,87,134,22
6,53,10,0
90,72,65,18
96,89,109,1
142,109,96,5
281,124,105,0
118,49,21,1
5,31,20,1
116,48,116,18
271,82,239,3
19,70,0,0
321,82,83,4
226,121,263,15
201,65,67,3
8,11,0,0
17,170,29,0
179,103,66,0
289,62,191,18
25,46,30,1
262,106,196,0
227,94,49,1
194,82,186,16
98,95,181,12
130,91,104,1
116,64,127,8
42,58,66,5
79,66,11,0
15,26,19,0
193,67,155,17
276,79,252,4
143,118,160,8
93,26,38,0
242,109,41,0
32,25,6,0
153,54,195,8
111,51,55,1
53,53,24,1
47,52,94,10
6,12,11,0
252,70,66,5
78,62,73,0
205,116,263,0
217,85,168,0
215,101,128,15
13,92,18,0
191,134,58,8
116,74,72,5
132,46,105,6
125,73,118,5
63,30,23,1
186,137,212,0
97,107,76,1
100,59,32,0
54,46,29,1
137,86,104,9
4,15,2,0
158,62,76,6
166,82,148,5
180,148,187,19
195,77,141,6
144,91,3,1
67,92,8,4
120,82,74,4
280,98,104,0
